遊戲名稱,期別,開獎日期,銷售總額,銷售注數,總獎金,獎號1,獎號2,獎號3,獎號4,獎號5,獎號6,獎號7,獎號8,獎號9,獎號10,獎號11,獎號12 
雙贏彩,111000163,2022/07/09,2225450,44509,425000,03,06,07,09,10,11,13,14,16,18,19,23
雙贏彩,111000164,2022/07/11,2021450,40429,189300,02,03,06,07,08,09,10,14,19,20,21,22
雙贏彩,111000165,2022/07/12,1827600,36552,351300,01,03,06,09,11,12,13,14,15,19,20,24
雙贏彩,111000166,2022/07/13,2255050,45101,408700,03,04,05,08,09,10,11,13,16,18,19,24
雙贏彩,111000167,2022/07/14,1819800,36396,565500,01,05,06,09,10,11,14,17,21,22,23,24
雙贏彩,111000168,2022/07/15,1827300,36546,362500,02,03,08,09,11,12,13,16,20,21,23,24
雙贏彩,111000169,2022/07/16,2196750,43935,906100,01,04,05,10,11,12,16,19,20,22,23,24
雙贏彩,111000170,2022/07/18,1971100,39422,601300,01,02,03,05,06,09,10,14,15,16,20,21
雙贏彩,111000171,2022/07/19,1739500,34790,675200,03,04,05,07,08,09,10,11,15,16,18,23
雙贏彩,111000172,2022/07/20,2187850,43757,1237500,01,02,04,05,06,07,08,14,15,17,18,21
雙贏彩,111000173,2022/07/21,1823450,36469,880900,03,06,07,08,09,13,14,16,17,20,21,24
雙贏彩,111000174,2022/07/22,1901950,38039,277700,01,02,03,05,06,12,13,15,17,20,23,24
雙贏彩,111000175,2022/07/23,2190250,43805,316900,01,03,04,05,11,13,14,16,17,18,21,23
雙贏彩,111000176,2022/07/25,1914000,38280,582000,02,05,08,09,11,12,14,17,18,19,21,23
雙贏彩,111000177,2022/07/26,1730800,34616,369700,02,05,09,10,11,12,14,15,16,17,20,22
雙贏彩,111000178,2022/07/27,2146050,42921,616100,02,03,04,07,09,10,11,12,15,17,19,20
雙贏彩,111000179,2022/07/28,1792100,35842,274000,01,02,04,08,10,14,15,16,17,19,20,22
雙贏彩,111000180,2022/07/29,1798350,35967,464200,01,05,06,07,08,12,15,17,18,19,22,23
雙贏彩,111000181,2022/07/30,2181000,43620,513400,02,06,09,11,12,14,16,19,20,21,22,23
